,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
62,2018-12-06,sh.600000,8.2840949600,8.3683140400,8.2840949600,8.3453452000,8.4219080000,23597997,256533148.0000,2,0.083967,1,-0.909094,0
63,2018-12-07,sh.600000,8.3759703200,8.4448768400,8.3300326400,8.3376889200,8.3453452000,10580550,115760323.0000,2,0.037648,1,-0.091736,0
64,2018-12-10,sh.600000,8.2458135600,8.3453452000,8.2458135600,8.2917512400,8.3376889200,15927563,172346141.0000,2,0.056674,1,-0.550968,0
65,2018-12-11,sh.600000,8.2994075200,8.3453452000,8.1845633200,8.2075321600,8.2917512400,17234222,185675067.0000,2,0.061324,1,-1.015694,0
66,2018-12-12,sh.600000,8.3376889200,8.3376889200,8.1922196000,8.2151884400,8.2075321600,12448791,134006589.0000,2,0.044296,1,0.093277,0
67,2018-12-13,sh.600000,8.2381572800,8.3147200800,8.2151884400,8.2687824000,8.2151884400,19792340,213866046.0000,2,0.070426,1,0.652383,0
68,2018-12-14,sh.600000,8.2228447200,8.2687824000,8.1080005200,8.1309693600,8.2687824000,24163831,257441060.0000,2,0.085981,1,-1.666670,0
69,2018-12-17,sh.600000,8.1539382000,8.2534698400,8.1309693600,8.2534698400,8.1309693600,19746228,211971706.0000,2,0.070262,1,1.506590,0
70,2018-12-18,sh.600000,8.1769070400,8.2840949600,8.0697191200,8.0926879600,8.2534698400,19451677,207318277.0000,2,0.069214,1,-1.948052,0
71,2018-12-19,sh.600000,8.1080005200,8.1539382000,8.0697191200,8.0697191200,8.0926879600,13603633,144342542.0000,2,0.048405,1,-0.283820,0
72,2018-12-20,sh.600000,8.0620628400,8.1080005200,7.7404990800,7.8476870000,8.0697191200,30069914,309207188.0000,2,0.106996,1,-2.751423,0
73,2018-12-21,sh.600000,7.8323744400,7.8400307200,7.6562800000,7.7098739600,7.8476870000,20885862,209975605.0000,2,0.074317,1,-1.756101,0
74,2018-12-24,sh.600000,7.6409674400,7.6869051200,7.5490920800,7.5873734800,7.7098739600,22779882,225706451.0000,2,0.081056,1,-1.588876,0
75,2018-12-25,sh.600000,7.4801855600,7.5490920800,7.3500288000,7.4954981200,7.5873734800,34810397,337985911.0000,2,0.123864,1,-1.210897,0
76,2018-12-26,sh.600000,7.5108106800,7.5644046400,7.3806539200,7.4036227600,7.4954981200,20569202,200359184.0000,2,0.073190,1,-1.225739,0
77,2018-12-27,sh.600000,7.4801855600,7.5031544000,7.3959664800,7.3959664800,7.4036227600,27347564,266280883.0000,2,0.097309,1,-0.103415,0
78,2018-12-28,sh.600000,7.4419041600,7.6179986000,7.4342478800,7.5031544000,7.3959664800,27404028,269118592.0000,2,0.097510,1,1.449279,0
79,2019-01-02,sh.600000,7.4572167200,7.4954981200,7.3347162400,7.4265916000,7.5031544000,23762822,229625669.0000,2,0.084554,1,-1.020412,0
80,2019-01-03,sh.600000,7.4265916000,7.5184669600,7.3959664800,7.5108106800,7.4265916000,18654262,181975985.0000,2,0.066376,1,1.134027,0
81,2019-01-04,sh.600000,7.4495604400,7.6562800000,7.4265916000,7.6256548800,7.5108106800,27172844,268964563.0000,2,0.096688,1,1.529048,0
82,2019-01-07,sh.600000,7.7251865200,7.7251865200,7.5950297600,7.6409674400,7.6256548800,23597376,235440197.0000,2,0.083965,1,0.200798,0
83,2019-01-08,sh.600000,7.6792488400,7.6792488400,7.5873734800,7.6256548800,7.6409674400,15104933,150501650.0000,2,0.053747,1,-0.200396,0
84,2019-01-09,sh.600000,7.7022176800,7.7787804800,7.6409674400,7.6486237200,7.6256548800,23163720,233890281.0000,2,0.082422,1,0.301202,0
85,2019-01-10,sh.600000,7.6103423200,7.6715925600,7.5950297600,7.6256548800,7.6486237200,15923566,158718755.0000,2,0.056660,1,-0.300298,0
86,2019-01-11,sh.600000,7.6792488400,7.7711242000,7.6256548800,7.6945614000,7.6256548800,19069069,191290102.0000,2,0.067852,1,0.903616,0
87,2019-01-14,sh.600000,7.6792488400,7.7328428000,7.6639362800,7.7022176800,7.6945614000,20352840,204659052.0000,2,0.072420,1,0.099505,0
88,2019-01-15,sh.600000,7.7328428000,7.7711242000,7.6945614000,7.7404990800,7.7022176800,15632125,158126136.0000,2,0.055623,1,0.497010,0
89,2019-01-16,sh.600000,7.7328428000,7.7711242000,7.7098739600,7.7558116400,7.7404990800,12988340,131354721.0000,2,0.046216,1,0.197828,0
90,2019-01-17,sh.600000,7.7864367600,7.8706558400,7.7098739600,7.7864367600,7.7558116400,22766048,232114667.0000,2,0.081007,1,0.394866,0
91,2019-01-18,sh.600000,7.8783121200,7.9931563200,7.8247181600,7.9855000400,7.7864367600,29087141,300979124.0000,2,0.103499,1,2.556541,0
92,2019-01-21,sh.600000,7.9319060800,8.0084688800,7.8859684000,7.9242498000,7.9855000400,18947789,196394076.0000,2,0.067421,1,-0.767018,0
93,2019-01-22,sh.600000,7.9472186400,7.9472186400,7.8323744400,7.8476870000,7.9242498000,16250557,167165417.0000,2,0.057823,1,-0.966187,0
94,2019-01-23,sh.600000,7.8783121200,7.9165935200,7.8476870000,7.8629995600,7.8476870000,16520327,170289907.0000,2,0.058783,1,0.195126,0
95,2019-01-24,sh.600000,7.9165935200,7.9548749200,7.8629995600,7.9472186400,7.8629995600,15006699,155265972.0000,2,0.053397,1,1.071077,0
96,2019-01-25,sh.600000,8.0008126000,8.0850316800,7.9472186400,8.0390940000,7.9472186400,19696587,206935398.0000,2,0.070085,1,1.156068,0
97,2019-01-28,sh.600000,8.0620628400,8.1615944800,7.9548749200,7.9778437600,8.0390940000,21769073,229185387.0000,2,0.077460,1,-0.761904,0
98,2019-01-29,sh.600000,7.9548749200,8.1386256400,7.9472186400,8.1003442400,7.9778437600,23768004,250301612.0000,2,0.084572,1,1.535507,0
99,2019-01-30,sh.600000,8.1080005200,8.1462819200,8.0161251600,8.0390940000,8.1003442400,16054256,169387635.0000,2,0.057125,1,-0.756143,0
100,2019-01-31,sh.600000,8.1080005200,8.2151884400,8.0467502800,8.2151884400,8.0390940000,25131034,267614893.0000,2,0.089422,1,2.190472,0
101,2019-02-01,sh.600000,8.2840949600,8.2840949600,8.1309693600,8.2458135600,8.2151884400,19119343,204604273.0000,2,0.068031,1,0.372795,0
102,2019-02-11,sh.600000,8.1309693600,8.2151884400,8.1309693600,8.1922196000,8.2458135600,20216568,215903077.0000,2,0.071935,1,-0.649960,0
103,2019-02-12,sh.600000,8.1998758800,8.2151884400,8.1386256400,8.2075321600,8.1922196000,16769601,179099038.0000,2,0.059670,1,0.186920,0
104,2019-02-13,sh.600000,8.2228447200,8.3683140400,8.1769070400,8.3147200800,8.2075321600,30248695,325845959.0000,2,0.107632,1,1.305964,0
